date,runtype,distance,duration,pace,elevation,calories,hr,eventtype
2020-09-27,running,7.26,2406.73,5.55,65.0,513.0,151.0,uncategorized
2020-09-29,running,7.25,2391.84,5.51,46.0,534.0,158.0,uncategorized
2020-10-02,running,7.25,2378.91,5.49,57.0,500.0,149.0,uncategorized
2020-10-05,running,7.25,2361.08,5.44,89.0,496.0,148.0,uncategorized
2020-10-06,running,7.26,2368.87,5.46,64.0,511.0,153.0,uncategorized
2020-10-10,running,7.28,2499.42,5.74,60.0,563.0,157.0,uncategorized
2020-10-12,running,7.29,2451.5,5.62,61.0,526.0,152.0,uncategorized
2020-10-16,running,6.51,2173.8,5.59,52.0,483.0,156.0,uncategorized
2020-10-18,running,7.26,2530.83,5.83,56.0,526.0,147.0,uncategorized
2020-10-19,running,7.26,2403.54,5.54,47.0,539.0,156.0,uncategorized
2020-10-22,running,7.26,2426.05,5.6,59.0,512.0,149.0,uncategorized
2020-10-24,running,7.26,2393.26,5.51,61.0,528.0,154.0,uncategorized
2020-10-25,running,7.26,2362.85,5.44,52.0,527.0,156.0,uncategorized
2020-10-26,running,7.25,2320.47,5.36,53.0,515.0,153.0,uncategorized
2020-10-29,running,7.06,2277.01,5.4,57.0,482.0,146.0,uncategorized
2020-10-31,running,7.06,2259.48,5.36,60.0,498.0,148.0,uncategorized
2020-11-02,running,7.02,2227.22,5.32,42.0,485.0,146.0,uncategorized
2020-11-07,running,5.01,1544.96,5.14,36.0,346.0,148.0,uncategorized
2020-11-08,running,6.01,1911.6,5.32,36.0,441.0,153.0,uncategorized
2020-11-09,running,10.27,3417.63,5.57,90.0,689.0,146.0,uncategorized
2020-11-10,running,7.3,2385.08,5.47,49.0,565.0,156.0,uncategorized
2020-11-12,running,7.35,2381.84,5.42,44.0,526.0,148.0,uncategorized
2020-11-14,running,10.03,3313.65,5.53,69.0,749.0,153.0,uncategorized
2020-11-15,running,7.44,2471.03,5.56,52.0,524.0,144.0,uncategorized
2020-11-21,running,7.26,2395.08,5.52,54.0,555.0,153.0,uncategorized
2020-11-22,running,8.05,2757.69,5.73,58.0,628.0,151.0,uncategorized
2020-11-23,running,5.28,1735.1,5.49,26.0,394.0,149.0,uncategorized
2020-11-28,running,8.03,2807.1,5.85,46.0,640.0,153.0,uncategorized
2020-11-29,running,12.0,4288.55,5.98,97.0,897.0,148.0,uncategorized
2020-12-04,running,8.01,2759.45,5.77,52.0,603.0,148.0,uncategorized
2020-12-06,running,10.01,3598.83,6.01,69.0,763.0,148.0,uncategorized
2020-12-08,running,8.53,2893.88,5.68,63.0,651.0,152.0,uncategorized
2020-12-11,running,5.5,1799.66,5.48,25.0,367.0,142.0,uncategorized
2020-12-17,running,6.02,2068.71,5.75,43.0,471.0,151.0,uncategorized
2020-12-18,running,9.25,3189.85,5.76,60.0,639.0,141.0,uncategorized
2020-12-23,running,7.04,2436.46,5.79,46.0,526.0,147.0,uncategorized
2020-12-24,running,8.0,2796.44,5.84,67.0,609.0,151.0,uncategorized
